timestamp,step,epoch,loss,eval_loss,learning_rate,gpu_memory_gb,train_samples_per_second
1750443448.3438551,,0.02,1.6811,,0.0001,22.201986048,
1750443566.6815612,,0.03,1.3105,,0.0002,23.038112256,
1750443706.1988297,,0.05,1.3087,,0.0001989084161117782,23.038112256,
1750443821.3251295,,0.06,1.3113,,0.0001978168322235564,23.050574336,
1750443936.517165,,0.08,1.2865,,0.00019672524833533458,23.050574336,
1750444054.7947073,,0.1,1.2898,,0.00019563366444711277,23.050574336,
1750444171.7981207,,0.11,1.2863,,0.00019454208055889096,23.054729216,
1750444290.5582347,,0.13,1.2738,,0.00019345049667066915,23.07489536,
1750444408.7835124,,0.15,1.2925,,0.00019235891278244734,23.07489536,
1750444525.2386315,,0.16,1.2911,,0.00019126732889422553,23.07489536,
1750444663.919068,,0.16,,1.2971973419189453,,23.07489536,
1750444816.6351967,,0.18,1.2963,,0.00019017574500600372,23.07489536,
1750444933.578035,,0.19,1.2825,,0.0001890841611177819,23.07489536,
1750445051.222225,,0.21,1.275,,0.0001879925772295601,23.07489536,
1750445167.3958783,,0.23,1.3142,,0.0001869009933413383,23.07489536,
1750445284.2694275,,0.24,1.2621,,0.00018580940945311648,23.07489536,
1750445406.2498724,,0.26,1.2849,,0.00018471782556489467,23.07489536,
1750445522.3907425,,0.28,1.3075,,0.00018362624167667286,23.07489536,
1750445641.4697163,,0.29,1.2851,,0.00018253465778845105,23.07489536,
1750445757.2940834,,0.31,1.2982,,0.00018144307390022924,23.07489536,
1750445872.3033624,,0.32,1.2836,,0.00018035149001200743,23.07489536,
1750446018.3018599,,0.32,,1.2916569709777832,,23.07489536,
1750446177.6084456,,0.34,1.2883,,0.00017925990612378562,23.07489536,
1750446291.1999896,,0.36,1.2838,,0.0001781683222355638,23.07489536,
1750446400.4362583,,0.37,1.2826,,0.000177076738347342,23.07489536,
1750446518.9830782,,0.39,1.2855,,0.0001759851544591202,23.07489536,
1750446633.7297218,,0.4,1.2731,,0.00017489357057089838,23.07489536,
1750446750.156185,,0.42,1.2709,,0.00017380198668267657,23.07489536,
1750446870.8613918,,0.44,1.2687,,0.00017271040279445476,23.07489536,
1750446989.2795382,,0.45,1.2751,,0.00017161881890623295,23.07489536,
1750447107.1751866,,0.47,1.273,,0.00017052723501801114,23.07489536,
1750447220.9973938,,0.49,1.2733,,0.00016943565112978933,23.07489536,
1750447366.2270799,,0.49,,1.289269208908081,,23.07489536,
1750447520.149178,,0.5,1.3112,,0.00016834406724156752,23.07489536,
1750447635.2087522,,0.52,1.2848,,0.00016725248335334571,23.07489536,
1750447754.5567908,,0.53,1.2682,,0.0001661608994651239,23.07489536,
1750447872.9208064,,0.55,1.2756,,0.0001650693155769021,23.07489536,
1750447988.619622,,0.57,1.2799,,0.00016397773168868029,23.07489536,
1750448099.0638344,,0.58,1.2692,,0.00016288614780045848,23.07489536,
1750448219.8363917,,0.6,1.2764,,0.00016179456391223667,23.07489536,
1750448332.5814168,,0.62,1.2646,,0.00016070298002401486,23.07489536,
1750448449.8621688,,0.63,1.2914,,0.00015961139613579305,23.07489536,
1750448566.8170872,,0.65,1.2746,,0.00015851981224757124,23.07489536,
1750448714.040679,,0.65,,1.2848042249679565,,23.07489536,
1750448869.7934554,,0.66,1.2834,,0.00015742822835934943,23.07489536,
1750448979.4934862,,0.68,1.256,,0.00015633664447112762,23.07489536,
1750449095.8142247,,0.7,1.2705,,0.0001552450605829058,23.07489536,
1750449209.018773,,0.71,1.271,,0.000154153476694684,23.07489536,
1750449329.7795002,,0.73,1.2913,,0.0001530618928064622,23.07489536,
1750449446.7545109,,0.74,1.2905,,0.00015197030891824038,23.07489536,
1750449565.7121303,,0.76,1.2714,,0.00015087872503001857,23.07489536,
1750449682.2218497,,0.78,1.2685,,0.00014978714114179676,23.07489536,
1750449794.6065314,,0.79,1.2656,,0.00014869555725357495,23.07489536,
1750449914.8729496,,0.81,1.2721,,0.00014760397336535314,23.07489536,
1750450058.7561255,,0.81,,1.2803248167037964,,23.07489536,
1750450217.6814153,,0.83,1.3068,,0.00014651238947713133,23.07489536,
1750450330.26189,,0.84,1.2722,,0.00014542080558890952,23.07489536,
1750450448.2094336,,0.86,1.2651,,0.0001443292217006877,23.07489536,
1750450560.690973,,0.87,1.2778,,0.0001432376378124659,23.07489536,
1750450678.280797,,0.89,1.2851,,0.0001421460539242441,23.07489536,
1750450793.8528051,,0.91,1.2821,,0.00014105447003602228,23.07489536,
1750450914.1625798,,0.92,1.26,,0.00013996288614780047,23.07489536,
1750451030.2757895,,0.94,1.2846,,0.00013887130225957866,23.07489536,
1750451144.5272202,,0.96,1.2881,,0.00013777971837135685,23.07489536,
1750451258.7125888,,0.97,1.2817,,0.00013668813448313504,23.07489536,
1750451404.4644654,,0.97,,1.2778830528259277,,23.07489536,
1750451566.0914717,,0.99,1.2636,,0.00013559655059491323,23.07489536,
1750451679.222694,,1.0,1.2272,,0.00013450496670669142,23.07489536,
1750451793.4764202,,1.02,1.1753,,0.0001334133828184696,23.07489536,
1750451907.874402,,1.04,1.1414,,0.00013232179893024777,23.07489536,
1750452021.271762,,1.05,1.1448,,0.000131230215042026,23.07489536,
1750452137.5307755,,1.07,1.1337,,0.00013013863115380418,23.07489536,
1750452253.8927152,,1.08,1.1569,,0.00012904704726558237,23.07489536,
1750452374.8665109,,1.1,1.1764,,0.00012795546337736056,23.07489536,
1750452488.908003,,1.12,1.1464,,0.00012686387948913872,23.07489536,
1750452603.0389888,,1.13,1.1361,,0.00012577229560091694,23.07489536,
1750452747.0244358,,1.13,,1.2981351613998413,,23.07489536,
1750452908.0231633,,1.15,1.1428,,0.00012468071171269513,23.07489536,
1750453028.9380083,,1.17,1.1517,,0.00012358912782447332,23.07489536,
1750453148.450411,,1.18,1.152,,0.0001224975439362515,23.07489536,
1750453263.9716597,,1.2,1.1551,,0.00012140596004802969,23.07489536,
1750453376.3794513,,1.21,1.1505,,0.00012031437615980789,23.07489536,
1750453491.290429,,1.23,1.1549,,0.00011922279227158608,23.07489536,
1750453609.0175006,,1.25,1.1518,,0.00011813120838336427,23.07489536,
1750453722.6894255,,1.26,1.1395,,0.00011703962449514245,23.07489536,
1750453840.5849397,,1.28,1.1281,,0.00011594804060692064,23.07489536,
1750453958.2048273,,1.3,1.1638,,0.00011485645671869884,23.07489536,
1750454103.6151254,,1.3,,1.2941689491271973,,23.07489536,
1750454261.620266,,1.31,1.1594,,0.00011376487283047703,23.07489536,
1750454376.162531,,1.33,1.119,,0.00011267328894225522,23.07489536,
1750454492.1628456,,1.34,1.1616,,0.0001115817050540334,23.07489536,
1750454605.861737,,1.36,1.1443,,0.00011049012116581159,23.07489536,
1750454716.5086374,,1.38,1.1556,,0.0001093985372775898,23.07489536,
1750454838.5424118,,1.39,1.1267,,0.00010830695338936798,23.07489536,
1750454954.7950685,,1.41,1.1463,,0.00010721536950114617,23.07489536,
1750455065.7906904,,1.42,1.1281,,0.00010612378561292435,23.07489536,
1750455182.9427269,,1.44,1.1474,,0.00010503220172470254,23.07489536,
1750455294.433317,,1.46,1.1176,,0.00010394061783648075,23.07489536,
1750455438.4094405,,1.46,,1.2978345155715942,,23.07489536,
1750455599.2271326,,1.47,1.1399,,0.00010284903394825894,23.07489536,
1750455714.753247,,1.49,1.1434,,0.00010175745006003711,23.07489536,
1750455831.953076,,1.51,1.1378,,0.0001006658661718153,23.075239424,
1750455946.9288788,,1.52,1.1616,,9.95742822835935e-05,23.075239424,
1750456064.7016523,,1.54,1.1569,,9.848269839537168e-05,23.075239424,
